,1700.0 µM Pi (1),850.0 µM Pi (1),425.0 µM Pi (1),212.5 µM Pi (1),106.25 µM Pi (1),53.125 µM Pi (1),26.5625 µM Pi (1),13.28125 µM Pi (1),6.640625 µM Pi (1),3.3203125 µM Pi (1),1.66015625 µM Pi (1),0.830078125 µM Pi (1),1700.0 µM Pi (2),850.0 µM Pi (2),425.0 µM Pi (2),212.5 µM Pi (2),106.25 µM Pi (2),53.125 µM Pi (2),26.5625 µM Pi (2),13.28125 µM Pi (2),6.640625 µM Pi (2),3.3203125 µM Pi (2),1.66015625 µM Pi (2),0.830078125 µM Pi (2),time
0,154.0,152.48,149.92,155.04,155.51999999999998,150.79999999999998,157.44,156.48,157.92,152.95999999999998,153.6,158.48,149.28,150.95999999999998,150.23999999999998,147.6,142.72,152.07999999999998,154.07999999999998,155.04,155.83999999999997,153.76,151.76,156.32,0.0
1,154.23999999999998,151.76,150.39999999999998,155.2,154.72,150.55999999999997,156.64,156.72,158.23999999999998,153.6,153.92,158.8,149.84,151.2,150.07999999999998,147.44,142.72,152.56,154.16,155.6,154.72,154.72,152.16,155.76,24.0
2,153.68,152.48,149.84,155.04,155.28,151.04,156.72,156.79999999999998,158.8,153.76,153.35999999999999,158.64,150.32,151.44,150.71999999999997,146.48,142.72,151.67999999999998,154.48,155.12,155.6,154.72,152.79999999999998,156.4,48.0
3,153.11999999999998,152.4,149.67999999999998,155.12,155.44,150.79999999999998,156.79999999999998,156.24,161.2,153.84,153.04,158.88,150.48,152.07999999999998,150.48,147.84,142.72,151.44,154.23999999999998,155.6,155.12,154.32,152.16,156.48,72.0
4,154.55999999999997,153.11999999999998,150.55999999999997,155.51999999999998,155.2,150.95999999999998,155.76,156.4,161.6,154.16,153.51999999999998,160.32,151.2,152.07999999999998,151.35999999999999,147.6,143.11999999999998,152.4,155.04,155.12,154.96,154.48,153.11999999999998,156.32,96.0
5,155.2,153.11999999999998,150.95999999999998,155.51999999999998,155.44,150.95999999999998,157.2,156.48,161.52,154.16,153.35999999999999,159.04,151.35999999999999,151.99999999999997,151.28,148.23999999999998,143.6,152.48,155.04,155.67999999999998,155.2,154.64,152.64,156.64,120.0
6,155.12,153.6,150.32,155.51999999999998,154.64,150.55999999999997,156.79999999999998,156.56,161.43999999999997,153.44,153.6,158.96,151.28,152.16,151.67999999999998,148.48,143.51999999999998,152.23999999999998,155.2,156.24,155.44,154.64,152.95999999999998,156.88,144.0
7,155.28,153.04,150.55999999999997,155.12,155.83999999999997,151.2,156.24,156.88,161.35999999999999,153.68,153.6,160.79999999999998,151.76,152.88,151.6,148.0,144.0,152.56,155.04,156.32,155.67999999999998,154.64,154.88,158.23999999999998,168.0
8,155.76,153.84,151.04,156.0,156.16,150.95999999999998,156.48,156.72,161.99999999999997,153.84,153.2,158.96,151.76,152.72,151.44,148.16,144.0,152.79999999999998,154.96,155.92,155.6,154.23999999999998,153.51999999999998,157.35999999999999,192.0
9,156.07999999999998,153.44,150.55999999999997,156.24,155.92,150.48,156.72,156.07999999999998,161.67999999999998,153.44,153.27999999999997,158.23999999999998,151.83999999999997,152.64,151.44,148.39999999999998,144.16,153.35999999999999,155.44,155.83999999999997,155.76,154.72,152.79999999999998,156.79999999999998,216.0
10,156.16,154.0,150.64,155.67999999999998,155.44,150.95999999999998,156.64,155.76,160.95999999999998,153.27999999999997,153.6,159.04,152.23999999999998,153.51999999999998,151.83999999999997,148.23999999999998,144.48,153.44,155.92,155.67999999999998,155.51999999999998,154.96,153.44,156.32,240.1
11,155.6,154.55999999999997,150.95999999999998,155.76,156.4,150.55999999999997,156.0,156.0,161.67999999999998,153.11999999999998,154.07999999999998,158.48,152.64,153.2,152.23999999999998,148.88,144.16,153.11999999999998,156.24,156.79999999999998,155.6,154.79999999999998,152.95999999999998,156.72,264.2
12,156.88,154.64,151.04,155.67999999999998,155.92,150.48,157.84,158.88,161.52,153.92,154.79999999999998,158.88,152.48,153.68,152.64,148.39999999999998,144.48,153.6,161.35999999999999,157.6,155.83999999999997,155.6,153.2,156.95999999999998,288.3
